"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 14 20:18:05 PDT 2020","Tue Jul 14 20:18:07 PDT 2020","1451","","Forgot-username","","Forgot-username","Recover-button-redirect-confirmation-text","Recover-button-redirect-confirmation-text",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","95","","Forgot-username","","Forgot-username","Username-form-title-text","Username-form-title-text",""
"passed","Tue Jul 14 20:18:02 PDT 2020","Tue Jul 14 20:18:03 PDT 2020","194","","Forgot-username","","Forgot-username","Email-0","Email-0",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","244","","Forgot-username","","Forgot-username","Forgot-username-url","Forgot-username-url",""
"passed","Tue Jul 14 20:18:04 PDT 2020","Tue Jul 14 20:18:05 PDT 2020","1318","","Forgot-username","","Forgot-username","Back-button-redirect","Back-button-redirect",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","16","","Forgot-username","","Forgot-username","Back-Button-text","Back-Button-text",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","160","","Forgot-username","","Forgot-username","Email-form-contain-elements","Email-form-contain-elements",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","57","","Forgot-username","","Forgot-username","Welcome-text","Welcome-text",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:18:01 PDT 2020","2273","","Forgot-username","","Forgot-username","Email-200","Email-200",""
"passed","Tue Jul 14 20:18:03 PDT 2020","Tue Jul 14 20:18:04 PDT 2020","1370","","Forgot-username","","Forgot-username","Forgot-password-redirect","Forgot-password-redirect",""
"passed","Tue Jul 14 20:17:55 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","2971","","Forgot-username","","Forgot-username","Page-contain-items","Page-contain-items",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","32","","Forgot-username","","Forgot-username","Email-text","Email-text",""
"passed","Tue Jul 14 20:18:01 PDT 2020","Tue Jul 14 20:18:02 PDT 2020","1894","","Forgot-username","","Forgot-username","Email-201","Email-201",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","19","","Forgot-username","","Forgot-username","Recover-Button-text","Recover-Button-text",""
"passed","Tue Jul 14 20:17:58 PDT 2020","Tue Jul 14 20:17:58 PDT 2020","94","","Forgot-username","","Forgot-username","Username-form-contain-elements","Username-form-contain-elements",""
"passed","Tue Jul 14 20:18:01 PDT 2020","Tue Jul 14 20:18:01 PDT 2020","47","","Forgot-username","","Forgot-username","Email-1","Email-1",""
